key,en,zh,ja
rectSelectNoSelection,No active selection in Photoshop. Please create a selection first.,Photoshop 中没有活动选区，请先创建选区。,Photoshopに選択範囲がありません。先に選択範囲を作成してください。
rectSelectNoDocument,No document open in Photoshop.,Photoshop 中没有打开文档。,Photoshopでドキュメントが開かれていません。
rectSelectSuccess,Pixels transferred to Photoshop.,像素已传输至 Photoshop。,ピクセルをPhotoshopに転送しました。
rectSelectFailed,Failed to transfer pixels.,传输失败。,転送に失敗しました。
rectSelectTransferring,Transferring...,传输中...,転送中...
importFromPSTool,Import from PS,从 PS 导入,PSから読み込む
importNoDocument,No document open in Photoshop.,Photoshop 中没有打开文档。,Photoshopでドキュメントが開かれていません。
importNoSelection,No active selection in Photoshop. Please create a selection first.,Photoshop 中没有活动选区，请先创建选区。,Photoshopに選択範囲がありません。先に選択範囲を作成してください。
importFailed,Failed to import pixels.,导入失败。,読み込みに失敗しました。
importSuccess,Pixels imported from Photoshop.,已从 Photoshop 导入像素。,Photoshopからピクセルを読み込みました。
importImporting,Importing...,导入中...,読み込み中...
confirm,Confirm,确认,確認
cancel,Cancel,取消,キャンセル
resizeGrow,"Canvas width will expand from {from}px to {to}px. Continue?","画布宽度将从 {from}px 扩大到 {to}px，是否继续？","キャンバス幅を {from}px から {to}px に拡大します。続行しますか？"
resizeShrink,"Canvas width will shrink from {from}px to {to}px. Pixels outside the new bounds will be cropped. Continue?","画布宽度将从 {from}px 缩小到 {to}px，超出部分将被裁剪，是否继续？","キャンバス幅を {from}px から {to}px に縮小します。範囲外のピクセルは切り取られます。続行しますか？"
brush_circle,Circle,圆形,円形
brush_soft,Soft,柔边,ソフト
brush_watercolor,Watercolor,水彩,水彩
brush_splatter,Splatter,喷溅,スプラッター
brush_flat,Flat,扁平笔,平筆
brush_dry,Dry,干笔刷,ドライブラシ
valueRulerLabel,Value,明度,明度
engineInitFailed,Engine initialization failed. The page needs to reload.\nClick OK to refresh.,引擎初始化失败，需要刷新页面重新加载资源。\n点击确定后将自动刷新。,エンジンの初期化に失敗しました。ページを再読み込みする必要があります。\nOKをクリックすると自動的に更新されます。
clickCheckUpdate,Click to check for updates,点击检查更新,クリックしてアップデートを確認
updateFetching,Fetching version info…,正在获取版本信息…,バージョン情報を取得中…
updateTimeout,Request timed out. Please check your network connection.,请求超时，请检查网络连接,リクエストがタイムアウトしました。ネットワーク接続を確認してください。
updateFailed,Failed to check for updates. Please try again later.,检查更新失败，请稍后再试,アップデートの確認に失敗しました。後でもう一度お試しください。
updateRetry,Retry,重试,再試行
updateChecking,Checking…,检查中…,確認中…
updateViewChangelog,View Full Changelog →,查看完整更新日志 →,完全な更新履歴を見る →
updateBtnLater,Later,稍后,後で
updateBtnDismiss,Don't remind me,不再提示此版本,このバージョンを通知しない
updateBtnRefresh,Update Now,立即更新,今すぐ更新
updateUpToDateBtn,Up to Date,已是最新版本,最新バージョンです
updateNewVersionTitle,🆕 New Version Available: {version},🆕 发现新版本 {version},🆕 新しいバージョンがあります: {version}
updateHostUpgradeNotice,⚠️ This update includes a UXP Host upgrade. Please reinstall the host plugin in Photoshop.,⚠️ 本次更新包含 UXP Host 升级，请在 Photoshop 中重新安装 Host 插件。,⚠️ このアップデートには UXP Host のアップグレードが含まれています。Photoshop でホストプラグインを再インストールしてください。
updateVersionLabel,Version {version},版本 {version},バージョン {version}
updateMoreHint,{count} earlier version(s) not shown. View full changelog for details →,还有 {count} 个较早版本的更新，查看完整日志了解详情 →,他に {count} 件の旧バージョンの更新があります。完全な更新履歴で詳細を確認 →
updateReloading,"Updating, please wait",正在更新，请稍候,更新中、しばらくお待ちください
copyVersionInfoTip,Copy version info,复制版本信息,バージョン情報をコピー
closeTip,Close,关闭,閉じる
laterTip,Later,稍后再提示,後でまた通知
dismissTip,Don't remind me about this version,不再提示此版本,このバージョンを通知しない
refreshTip,Reload to apply update,刷新以应用更新,更新を適用するため再読み込み
announcementOk,Got it,知道了,了解
resizeHandleTip,Drag to resize canvas,拖动调整画布宽度,ドラッグしてキャンバスサイズを変更
